Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Canis rufus,Red wolf,"Wherever found, except where listed as an experimental population",4,Endangered,Mammals,North Carolina,,,,,,,,,,,,,,,,,
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,North Carolina,,,,,,,,,,,,,,,,,
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,5,Endangered,Mammals,North Carolina,,,,,,,,,,,,,,,,,
Glaucomys sabrinus coloratus,Carolina northern flying squirrel,Wherever found,4,Endangered,Mammals,North Carolina,,,,,,,,,,,,,,,,,
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds,North Carolina,,,,,,,,,,,,,,,,,
Mycteria americana,Wood stork,"AL, FL, GA, MS, NC, SC",4,Threatened,Birds,North Carolina,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,North Carolina,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,North Carolina,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Lepidochelys kempii,Kemp's ridley sea turtle,Wherever found,2,Endangered,Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,North Carolina,,,,,,,,,,,,,,,,,
Percina rex,Roanoke logperch,Wherever found,5,Endangered,Fishes,North Carolina,,,,,,,,,,,,,,,,,
Notropis mekistocholas,Cape Fear shiner,Wherever found,4,Endangered,Fishes,North Carolina,,,,,,,,,,,,,,,,,
Menidia extensa,Waccamaw silverside,Wherever found,4,Threatened,Fishes,North Carolina,,,,,,,,,,,,,,,,,
Pegias fabula,Littlewing pearlymussel,Wherever found,4,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Parvaspina steinstansana,Tar River spinymussel,Wherever found,4,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Alasmidonta raveneliana,Appalachian elktoe,Wherever found,4,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Parvaspina collina,James spinymussel,Wherever found,5,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Lasmigona decorata,Carolina heelsplitter,Wherever found,4,Endangered,Clams,North Carolina,,,,,,,,,,,,,,,,,
Mesodon clarki nantahala,noonday snail,Wherever found,4,Threatened,Snails,North Carolina,,,,,,,,,,,,,,,,,
Neonympha mitchellii francisci,Saint Francis' satyr butterfly,Wherever found,4,Endangered,Insects,North Carolina,,,,,,,,,,,,,,,,,
Microhexura montivaga,Spruce-fir moss spider,Wherever found,4,Endangered,Arachnids,North Carolina,,,,,,,,,,,,,,,,,
Cardamine micranthera,Small-anthered bittercress,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Geum radiatum,Spreading avens,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Hexastylis naniflora,Dwarf-flowered heartleaf,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Sagittaria fasciculata,Bunched arrowhead,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Sarracenia oreophila,Green pitcher-plant,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Thalictrum cooleyi,Cooley's meadowrue,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Aeschynomene virginica,Sensitive joint-vetch,Wherever found,5,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Echinacea laevigata,Smooth coneflower,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Hedyotis purpurea var. montana,Roan Mountain bluet,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Helianthus schweinitzii,Schweinitz's sunflower,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Helonias bullata,Swamp pink,,5,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Liatris helleri,Heller's blazingstar,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Lindera melissifolia,Pondberry,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Lysimachia asperulaefolia,Rough-leaved loosestrife,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Oxypolis canbyi,Canby's dropwort,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Rhus michauxii,Michaux's sumac,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Sarracenia rubra ssp. jonesii,Mountain sweet pitcher-plant,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Solidago spithamaea,Blue Ridge goldenrod,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Hudsonia montana,Mountain golden heather,Wherever found,4,Threatened,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Sisyrinchium dichotomum,White irisette,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Carex lutea,Golden sedge,Wherever found,4,Endangered,Flowering Plants,North Carolina,,,,,,,,,,,,,,,,,
Gymnoderma lineare,Rock gnome lichen,Wherever found,4,Endangered,Lichens,North Carolina,,,,,,,,,,,,,,,,,
Planorbella magnifica,Magnificent ramshorn,Wherever found,4,Endangered,Snails,North Carolina,,,,,,,,,,,,,,,,,
Necturus lewisi,Neuse River waterdog,Wherever found,4,Threatened,Amphibians,North Carolina,,,,,,,,,,,,,,,,,
Elliptio lanceolata,Yellow lance,Wherever found,4,Threatened,Clams,North Carolina,,,,,,,,,,,,,,,,,
Canis rufus,Red wolf,U.S.A. (portions of NC and TN),4,"Experimental Population, Non-Essential",Mammals,North Carolina,,,,,,,,,,,,,,,,,
Noturus furiosus,Carolina madtom,Wherever found,4,Endangered,Fishes,North Carolina,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"U.S.A. (GA, NC, SC, TN, VA)",4,Similarity of Appearance (Threatened),Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Fusconaia masoni,Atlantic pigtoe,Wherever found,4,Threatened,Clams,North Carolina,,,,,,,,,,,,,,,,,
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,North Carolina,,,,,,,,,,,,,,,,,
Alligator mississippiensis,American alligator,Wherever found,4,Similarity of Appearance (Threatened),Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,North Carolina,,,,,,,,,,,,,,,,,
Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS,4,Threatened,Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,North Carolina,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,North Carolina,,,,,,,,,,,,,,,,,
Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles,North Carolina,,,,,,,,,,,,,,,,,
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds,North Carolina,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,New York,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,New York,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,New York,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,New York,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,New York,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,New York,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,New York,,,,,,,,,,,,,,,,,
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,New York,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,New York,,,,,,,,,,,,,,,,,
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,New York,,,,,,,,,,,,,,,,,
Novisuccinea chittenangoensis,Chittenango ovate amber snail,Wherever found,5,Threatened,Snails,New York,,,,,,,,,,,,,,,,,
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,New York,,,,,,,,,,,,,,,,,
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Agalinis acuta,Sandplain gerardia,Wherever found,5,Endangered,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Solidago houghtonii,Houghton's goldenrod,Wherever found,3,Threatened,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,New York,,,,,,,,,,,,,,,,,
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,New York,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,New York,,,,,,,,,,,,,,,,,
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,New York,,,,,,,,,,,,,,,,,
Hemileuca maia menyanthevora (=H. iroquois),bog buck moth,Wherever found,5,Endangered,Insects,New York,,,,,,,,,,,,,,,,,
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,New York,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,New York,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,New York,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,New York,,,,,,,,,,,,,,,,,
Mustela nigripes,Black-footed ferret,"Wherever found, except where listed as an experimental population",6,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Canis lupus baileyi,Mexican wolf,"Wherever found, except where listed as an experimental population",2,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Panthera onca,Jaguar,Wherever found,2,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Leptonycteris nivalis,Mexican long-nosed bat,Wherever found,2,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Strix occidentalis lucida,Mexican spotted owl,Wherever found,2,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,2,Endangered,Birds,New Mexico,,,,,,,,,,,,,,,,,
Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,Wherever found,2,Threatened,Reptiles,New Mexico,,,,,,,,,,,,,,,,,
Rana chiricahuensis,Chiricahua leopard frog,Wherever found,2,Threatened,Amphibians,New Mexico,,,,,,,,,,,,,,,,,
Ptychocheilus lucius,Colorado pikeminnow,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Poeciliopsis occidentalis,Gila topminnow (incl. Yaqui),Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Oncorhynchus gilae,Gila trout,Wherever found,2,Threatened,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Gambusia nobilis,Pecos gambusia,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Gila nigrescens,Chihuahua chub,Wherever found,2,Threatened,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Ictalurus pricei,Yaqui catfish,Wherever found,2,Threatened,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Tiaroga cobitis,Loach minnow,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Notropis simus pecosensis,Pecos bluntnose shiner,Wherever found,2,Threatened,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Xyrauchen texanus,Razorback sucker,Wherever found,6,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Meda fulgida,Spikedace,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Notropis girardi,Arkansas River shiner,"Arkansas River Basin (AR, KS, NM, OK, TX)",2,Threatened,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Hybognathus amarus,Rio Grande Silvery Minnow,"Wherever found, except where listed as an experimental population",2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Tryonia alamosae,Alamosa springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Pyrgulopsis neomexicana,Socorro springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Thermosphaeroma thermophilus,Socorro isopod,Wherever found,2,Endangered,Crustaceans,New Mexico,,,,,,,,,,,,,,,,,
Helianthus paradoxus,"Pecos (=puzzle, =paradox) sunflower",Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Argemone pleiacantha ssp. pinnatisecta,Sacramento prickly poppy,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Astragalus humillimus,Mancos milk-vetch,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Coryphantha sneedii var. leei,Lee pincushion cactus,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Coryphantha sneedii var. sneedii,Sneed pincushion cactus,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Echinocereus fendleri var. kuenzleri,Kuenzler hedgehog cactus,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Erigeron rhizomatus,Zuni fleabane,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Eriogonum gypsophilum,Gypsum wild-buckwheat,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Pediocactus knowltonii,Knowlton's cactus,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Sclerocactus mesae-verdae,Mesa Verde cactus,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Hedeoma todsenii,Todsen's pennyroyal,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Cirsium vinaceum,Sacramento Mountains thistle,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Coryphantha robbinsorum,Cochise pincushion cactus,Wherever found,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Lilaeopsis schaffneriana var. recurva,Huachuca water-umbel,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Ipomopsis sancti-spiritus,Holy Ghost ipomopsis,Wherever found,2,Endangered,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,New Mexico,,,,,,,,,,,,,,,,,
Assiminea pecos,Pecos assiminea snail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Pyrgulopsis roswellensis,Roswell springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Juturnia kosteri,Koster's springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Euphydryas anicia cloudcrofti,Sacramento Mountains checkerspot Butterfly,Wherever found,2,Endangered,Insects,New Mexico,,,,,,,,,,,,,,,,,
Gammarus desperatus,Noel's Amphipod,Wherever found,2,Endangered,Crustaceans,New Mexico,,,,,,,,,,,,,,,,,
Speyeria nokomis nokomis,Silverspot,Wherever found,6,Threatened,Insects,New Mexico,,,,,,,,,,,,,,,,,
Thamnophis eques megalops,Northern Mexican gartersnake,Wherever found,2,Threatened,Reptiles,New Mexico,,,,,,,,,,,,,,,,,
Popenaias popeii,Texas Hornshell,Wherever found,2,Endangered,Clams,New Mexico,,,,,,,,,,,,,,,,,
Thamnophis rufipunctatus,Narrow-headed gartersnake,Wherever found,2,Threatened,Reptiles,New Mexico,,,,,,,,,,,,,,,,,
Catostomus discobolus yarrowi,Zuni bluehead Sucker,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Plethodon neomexicanus,Jemez Mountains salamander,Wherever found,2,Endangered,Amphibians,New Mexico,,,,,,,,,,,,,,,,,
Pyrgulopsis chupaderae,Chupadera springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Macrhybopsis tetranema,Peppered chub,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Zapus hudsonius luteus,New Mexico meadow jumping mouse,Wherever found,2,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Gila intermedia,Gila chub,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Falco femoralis septentrionalis,Northern Aplomado Falcon,"U.S.A (AZ, NM)",2,"Experimental Population, Non-Essential",Birds,New Mexico,,,,,,,,,,,,,,,,,
Cirsium wrightii,Wright's marsh thistle,,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Canis lupus baileyi,Mexican wolf,U.S.A. (portions of AZ and NM)see 17.84(k),2,"Experimental Population, Non-Essential",Mammals,New Mexico,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,New Jersey,,,,,,,,,,,,,,,,,
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals,New Jersey,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,New Jersey,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,New Jersey,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,New Jersey,,,,,,,,,,,,,,,,,
Habroscelimorpha dorsalis dorsalis,Northeastern beach tiger beetle,Wherever found,5,Threatened,Insects,New Jersey,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Aeschynomene virginica,Sensitive joint-vetch,Wherever found,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Helonias bullata,Swamp pink,,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Rhynchospora knieskernii,Knieskern's Beaked-rush,Wherever found,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,New Jersey,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,New Jersey,,,,,,,,,,,,,,,,,
